Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
SHIB1000USDT,4e7c56bd,2023-02-13 09:19:07,10,Open Long,Limit,Trade,2200,0.012305,0.012305,0.0001,0.0027071,d93f2c96
DOGEUSDT,a0dc9233,2023-02-13 09:16:22,10,Open Long,Limit,Trade,231,0.08034,0.08034,0.0001,0.00185586,775a1a5b
MATICUSDT,50296421,2023-02-13 08:42:13,10,Open Long,Limit,Trade,22,1.1907,1.1907,0.0001,0.00261954,08a863a4
SHIB1000USDT,0235db82,2023-02-13 08:05:16,10,Open Long,Limit,Trade,2000,0.012820,0.012840,0.0006,0.015384,5cc93c28
SHIB1000USDT,ad83237a,2023-02-13 08:04:47,10,Close Short,Limit,Trade,2000,0.012790,0.012790,0.0001,0.002558,0405f344
MATICUSDT,7091-Buy,2023-02-13 08:00:00,10,Open Long,--,Funding,20,1.2159,0.0000,1.685e-05,0.00040976,ed4474e8
SHIB1000USDT,7091-Sel,2023-02-13 08:00:00,10,Open Short,--,Funding,2000,0.012903,0.000000,-0.0001,-0.0025806,e855bb0b
DOGEUSDT,7091-Buy,2023-02-13 08:00:00,10,Open Long,--,Funding,210,0.08391,0.00000,3.405e-05,0.0006,300a8311
ETHUSDT,091-Sell,2023-02-13 08:00:00,5,Open Short,--,Funding,0.07,1521.69,0.00,-5.977e-05,-0.00636659,a7895922
DOGEUSDT,a4e0e6bc,2023-02-13 06:55:42,10,Open Long,Limit,Trade,24,0.08369,0.08369,0.0001,0.00020086,0a53c163
DOGEUSDT,a4e0e6bc,2023-02-13 06:55:42,10,Open Long,Limit,Trade,186,0.08369,0.08369,0.0001,0.00155664,5785938e
DOGEUSDT,09c201bb,2023-02-13 04:38:14,10,Close Short,Limit,Trade,210,0.08465,0.08465,0.0001,0.00177765,2860b78e
DOGEUSDT,ac0dc382,2023-02-13 04:34:07,10,Open Short,Limit,Trade,210,0.08525,0.08459,0.0006,0.0107415,0d5df760
DOGEUSDT,d1c64ab1,2023-02-13 04:28:15,10,Close Long,Limit,Trade,974,0.08584,0.08584,0.0001,0.00836082,c9f8e66b
SHIB1000USDT,e8250eae,2023-02-13 04:27:12,10,Open Short,Limit,Trade,2000,0.012880,0.012825,0.0006,0.015456,b76a68ef
SHIB1000USDT,e02d6610,2023-02-13 04:21:28,10,Close Long,Limit,Trade,2000,0.012840,0.012840,0.0001,0.002568,d8f81f8f
SHIB1000USDT,be809d78,2023-02-13 01:26:23,10,Open Long,Limit,Trade,2000,0.012750,0.012750,0.0001,0.00255,16993ff7
SHIB1000USDT,38278d2c,2023-02-13 00:59:11,10,Close Short,Limit,Trade,2000,0.012910,0.012910,0.0001,0.002582,69862ef3
SHIB1000USDT,8336558a,2023-02-13 00:52:37,10,Open Short,Limit,Trade,2000,0.013000,0.012975,0.0006,0.0156,b4fee138
SHIB1000USDT,0fce2cf6,2023-02-13 00:46:59,10,Close Long,Limit,Trade,2000,0.013040,0.013040,0.0001,0.002608,4abcdd93
SHIB1000USDT,7091-Buy,2023-02-13 00:00:00,10,Open Long,--,Funding,2000,0.012819,0.000000,3.26e-06,8.358e-05,99433fdb
DOGEUSDT,7091-Buy,2023-02-13 00:00:00,10,Open Long,--,Funding,974,0.08214,0.00000,0.0001,0.00800044,53b50afa
ETHUSDT,091-Sell,2023-02-13 00:00:00,5,Open Short,--,Funding,0.07,1514.40,0.00,-8.154e-05,-0.00864389,9992afe8
MATICUSDT,7091-Buy,2023-02-13 00:00:00,10,Open Long,--,Funding,20,1.2352,0.0000,-1.552e-05,-0.0003834,7681a0df
MATICUSDT,e2b9486e,2023-02-12 22:04:11,10,Open Long,Limit,Trade,20,1.2403,1.2403,0.0001,0.0024806,7989139a
SHIB1000USDT,9d21ca05,2023-02-12 21:34:33,10,Open Long,Limit,Trade,290,0.012950,0.013110,0.0006,0.0022533,a05f2126
SHIB1000USDT,9d21ca05,2023-02-12 21:34:33,10,Open Long,Limit,Trade,1710,0.012950,0.013110,0.0006,0.0132867,6ca24930
SHIB1000USDT,e949d38f,2023-02-12 21:34:30,10,Close Short,Limit,Trade,4200,0.012960,0.012960,0.0001,0.0054432,e6283353
MATICUSDT,fd7e23f4,2023-02-12 21:25:33,10,Close Short,Limit,Trade,42,1.2646,1.2646,0.0001,0.00531132,b5cef94b
SHIB1000USDT,821a04b9,2023-02-12 17:11:52,10,Open Short,Limit,Trade,2200,0.013295,0.013295,0.0001,0.0029249,5b62a189
