Название пары,Дата сделки,Стратегия сделки,Цена сделки
SHIB1000USDT,2023-02-15 03:13:53,Close Long,1150
SHIB1000USDT,2023-02-15 03:13:50,Close Long,850
SHIB1000USDT,2023-02-15 02:49:58,Close Short,2000
MATICUSDT,2023-02-14 16:00:51,Close Short,20
DOGEUSDT,2023-02-14 15:40:00,Close Short,210
MATICUSDT,2023-02-14 15:39:00,Close Short,42
SHIB1000USDT,2023-02-14 15:35:04,Close Short,2000
SHIB1000USDT,2023-02-14 15:02:29,Close Short,2000
SHIB1000USDT,2023-02-14 14:58:04,Close Long,4200
DOGEUSDT,2023-02-14 14:46:31,Close Long,210
MATICUSDT,2023-02-14 14:37:02,Close Long,20
DOGEUSDT,2023-02-14 14:07:55,Close Short,210
MATICUSDT,2023-02-14 14:06:44,Close Short,20
MATICUSDT,2023-02-14 13:58:01,Close Long,66
DOGEUSDT,2023-02-14 13:48:11,Close Long,210
DOGEUSDT,2023-02-14 13:38:03,Close Short,210
DOGEUSDT,2023-02-14 13:32:32,Close Long,441
SHIB1000USDT,2023-02-13 08:04:47,Close Short,2000
DOGEUSDT,2023-02-13 04:38:14,Close Short,210
DOGEUSDT,2023-02-13 04:28:15,Close Long,974
SHIB1000USDT,2023-02-13 04:21:28,Close Long,2000
SHIB1000USDT,2023-02-13 00:59:11,Close Short,2000
SHIB1000USDT,2023-02-13 00:46:59,Close Long,2000
SHIB1000USDT,2023-02-12 21:34:30,Close Short,4200
MATICUSDT,2023-02-12 21:25:33,Close Short,42
MATICUSDT,2023-02-12 04:28:19,Close Long,20
MATICUSDT,2023-02-12 01:43:26,Close Short,20
MATICUSDT,2023-02-11 21:53:37,Close Long,40
SHIB1000USDT,2023-02-11 21:43:42,Close Long,2000
SHIB1000USDT,2023-02-11 20:00:30,Close Short,2000
SHIB1000USDT,2023-02-11 18:30:32,Close Short,2000
SHIB1000USDT,2023-02-11 18:09:55,Close Long,2000
SHIB1000USDT,2023-02-11 16:43:47,Close Short,2000
MATICUSDT,2023-02-11 15:42:22,Close Short,20
MATICUSDT,2023-02-11 15:00:26,Close Long,20
SHIB1000USDT,2023-02-11 14:19:23,Close Short,2000
SHIB1000USDT,2023-02-11 14:06:22,Close Short,2000
SHIB1000USDT,2023-02-11 12:32:55,Close Short,2000
SHIB1000USDT,2023-02-11 12:20:21,Close Long,2000
MATICUSDT,2023-02-11 05:17:17,Close Short,20
MATICUSDT,2023-02-11 04:20:06,Close Long,42
SHIB1000USDT,2023-02-11 04:07:51,Close Short,2000
SHIB1000USDT,2023-02-11 03:13:43,Close Long,2000
SHIB1000USDT,2023-02-11 01:26:14,Close Short,2000
SHIB1000USDT,2023-02-11 00:31:23,Close Long,2000
SHIB1000USDT,2023-02-10 23:11:06,Close Short,2000
SHIB1000USDT,2023-02-10 21:39:09,Close Short,700
SHIB1000USDT,2023-02-10 21:38:50,Close Short,1060
SHIB1000USDT,2023-02-10 21:38:49,Close Short,80
SHIB1000USDT,2023-02-10 21:38:46,Close Short,80
SHIB1000USDT,2023-02-10 21:38:45,Close Short,80
MATICUSDT,2023-02-10 20:39:04,Close Long,20
SHIB1000USDT,2023-02-10 19:59:48,Close Long,12200
MATICUSDT,2023-02-10 19:09:34,Close Short,20
MATICUSDT,2023-02-10 18:04:12,Close Long,20
MATICUSDT,2023-02-10 16:02:26,Close Long,20
MATICUSDT,2023-02-10 15:25:14,Close Short,20
MATICUSDT,2023-02-10 13:37:38,Close Short,20
MATICUSDT,2023-02-10 13:14:16,Close Long,20
MATICUSDT,2023-02-10 12:08:30,Close Short,42
MATICUSDT,2023-02-10 06:02:51,Close Long,20
MATICUSDT,2023-02-10 04:52:45,Close Short,20
MATICUSDT,2023-02-09 23:28:50,Close Long,42
MATICUSDT,2023-02-09 22:02:10,Close Long,20
MATICUSDT,2023-02-09 21:32:10,Close Long,20
MATICUSDT,2023-02-09 21:01:42,Close Short,20
MATICUSDT,2023-02-09 20:45:39,Close Long,20
MATICUSDT,2023-02-09 18:46:05,Close Short,20
MATICUSDT,2023-02-09 18:23:47,Close Long,20
MATICUSDT,2023-02-09 16:36:01,Close Short,42
MATICUSDT,2023-02-09 06:59:12,Close Long,42
MATICUSDT,2023-02-08 23:33:08,Close Long,20
MATICUSDT,2023-02-08 21:07:56,Close Long,20
MATICUSDT,2023-02-08 18:31:13,Close Short,20
MATICUSDT,2023-02-08 16:39:44,Close Long,20
MATICUSDT,2023-02-08 16:14:53,Close Short,42
DOGEUSDT,2023-02-08 15:07:16,Close Short,210
SHIB1000USDT,2023-02-08 14:33:10,Close Short,2000
SHIB1000USDT,2023-02-08 11:16:21,Close Long,2000
SHIB1000USDT,2023-02-08 10:10:24,Close Short,2000
DOGEUSDT,2023-02-07 18:37:54,Close Long,210
MATICUSDT,2023-02-07 18:30:14,Close Short,20
SHIB1000USDT,2023-02-07 18:09:21,Close Short,2000
